chinese_,english
研究木材工艺，将提升木材加工专家的等级上限。,Research Wood to increase the worker's max level
研究服装工艺，将提升服装设计师的等级上限。,Research Tailor to increase the worker's max level
研究手工工艺，将提升手工专家的等级上限。,Research Handcraft to increase the worker's max level
研究化学工艺，将提升化学专家的等级上限。,Research Chemistry to increase the worker's max level
研究枪械工艺，将提升枪械装配师的等级上限。,Research Firearms to increase the worker's max level
研究工程工艺，将提升工程师的等级上限。,Research Engeering to increase the worker's max level
研究精密工艺，将提升精密加工专家的等级上限。,Research Precision to increase the worker's max level
研究艺术工艺，将提升首饰设计师的等级上限。,Research Art to increase the worker's max level
研究尖端科技，将提升工程院士的等级上限。,Research High-end Tech to increase the worker's max level
研究康复理疗，可以减少英雄的休息时间。,Research Recovery to increase the hero's rest time
研究探险情报，可以增加发现探险时的战力品。,Research Exploration to increase the items found when exploring
研究指挥学，可以提升英雄的等级上限。,Research Command to increase the hero's max level
统计商会联盟内所有成员的铁矿厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的伐木场改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的皮革厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的纺织厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的化学制剂厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的炼钢厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的橡胶工厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的炼油厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的玻璃厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的芯片工厂改造次数，改造次数越多，共享奖励加成越高,More development times，higher shared bonus
统计商会联盟内所有成员的铸造工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的木材工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的服装工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的手工工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的化学工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的枪械工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的工程工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的精密工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的艺术工艺研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的尖端科技研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的康复研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的探险研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
统计商会联盟内所有成员的指挥研究次数，研究次数越多，共享奖励加成越高,More research times，higher shared bonus
建筑与科技分类的翻译》↓,
玻璃工厂,Glassworks
铸造工艺研究,Casting
木材工艺研究,Wood
服装工艺研究,Tailor
手工工艺研究,Handcraft
化学工艺研究,Chemisty
枪械工艺研究,Firearms
工程工艺研究,Engineering
精密工艺研究,Precision
艺术工艺研究,Art
尖端科技研究,High-end Tech
建筑与科技作用名词的翻译》↓,
铁矿产量,Iron ore production
木材产量,Wood production
皮革产量,Leather production
布料产量,Fabric production
药剂产量,Potion production
钢材产量,Steel production
橡胶产量,Rubber production
油料产量,Oil production
玻璃产量,Glass production
芯片产量,Chip production
铸造专家等级上限,Blacksmith Max Level
木材加工专家等级上限,Carpenter Max Level
服装设计师等级上限,Tailor Max Level
手工专家等级上限,Craftsman Max Level
化学专家等级上限,Chemist Max Level
枪械装配师等级上限,Armorer Max Level
工程师等级上限,Engineer Max Level
精密加工专家等级上限,Precision Expert Max Level
首饰设计师等级上限,Jewelry Designer Max Level
工程院士等级上限,Engineering Academician Max Level
英雄等级上限,Hero Max Level
员工名字的翻译》↓,
威廉,William
约翰,John
琳,Lynn
左纳,Zona
艾拉,Ella
伊利欧斯,Gavin
劳伦斯,Lawrence
西恩,Sean
阿芙莉亚,Aphria
亚历山大,Alexander
员工分类的翻译》↓,
铸造专家,Blacksmith
木材加工专家,Carpenter
服装设计师,Tailor
手工专家,Craftsman
化学专家,Chemistry
枪械装配师,Armorer
工程师,Engineer
精密加工专家,Precision Expert
首饰设计师,Jewelry Designer
工程院士,Engineering Academician
员工说明相关的翻译》↓,
看到我手中的铁锤了吗？它能敲出简单的武器还有护具！,See the hammer in my hand? It can knock out simple weapons and armors!
不要瞧不起木头制作的东西，它可是非常可靠，关键时候能保住你的性命！,Don't look down on wooden items，it's very reliable and can save your life at critical moment!
想要一身合身并且能保护你的护甲吗？,Do you want a suit of armor that fits and protects you?
一双灵巧的手说的就是我，不管是武器还是实用的东西记得找我制作！,It's me who has a pair of skillful hands! Come to me when you need weapons or any practical things!
不想死的话，我给你的东西记得马上丢出去，危险警告！,If you don't want to die，remember to throw out the things I gave you right away. Warning!
想要制作一把常用武器吗？你想要制作什么武器？,Do you want a weapon? What weapon do you want to craft?
呃...我会设计帝国大厦，这种小工具难不倒我！,Er... I am able to design the Empire State building. Gadgets just a piece of cake for me
我拥有一双不会颤抖的手，我制造的武器能打中几千米远的蚊子！你相信我吗？,I have a pair of hands never trembling. The weapons I crafted can hit mosquitoes thousands of meters away! Do you believe me?
好向往旧时代的时装秀，我设计的首饰肯定能风靡世界~,I look forward to the fashion show of the old times. My jewelry will be popular all over the world~
年轻人，我曾经研究的重型武器可以毁灭世界~,Young man，the heavy weapons I studied can destroy the world~
NPC名字相关的翻译》↓,
男流浪汉,Male Vagrant
女流浪汉,Female Vagrant
艾莉,Eily
引导员,Guider
黑市商人,Black Marketer
店主换装相关的翻译》↓,
女性五官1,Female Facial Features1
女性五官2,Female Facial Features2
女性五官3,Female Facial Features3
男性五官1,Male Facial Features1
男性五官2,Male Facial Features2
男性五官3,Male Facial Features3
男性五官4,Male Facial Features4
男性五官5,Male Facial Features5
男性五官6,Male Facial Features6
男性五官7,Male Facial Features7
男性五官8,Male Facial Features8
男性五官9,Male Facial Features9
男性五官10,Male Facial Features10
男性五官11,Male Facial Features11
男性五官12,Male Facial Features12
女性发型1,Female Hairstyle1
女性发型2,Female Hairstyle2
女性发型3,Female Hairstyle3
女性发型4,Female Hairstyle4
女性发型5,Female Hairstyle5
男性发型1,Male Hairstyle1
男性发型2,Male Hairstyle2
男性发型3,Male Hairstyle3
男性发型4,Male Hairstyle4
男性发型5,Male Hairstyle5
男性发型6,Male Hairstyle6
男性发型7,Male Hairstyle7
男性发型8,Male Hairstyle8
男性发型9,Male Hairstyle9
男性发型10,Male Hairstyle10
男性发型11,Male Hairstyle11
女性上装1,Female Top1
女性上装2,Female Top2
女性上装3,Female Top3
女性上装4,Female Top4
女性上装5,Female Top5
女性上装6,Female Top6
女性上装7,Female Top7
女性上装8,Female Top8
男性上装1,Male Top1
男性上装2,Male Top2
男性上装3,Male Top3
男性上装4,Male Top4
男性上装5,Male Top5
男性上装6,Male Top6
男性上装7,Male Top7
男性上装8,Male Top8
男性上装9,Male Top9
男性上装10,Male Top10
男性上装11,Male Top11
男性上装12,Male Top12
男性上装13,Male Top13
男性上装14,Male Top14
男性上装15,Male Top15
男性上装16,Male Top16
男性上装17,Male Top17
男性上装18,Male Top18
男性上装19,Male Top19
男性上装20,Male Top20
男性上装21,Male Top21
男性上装22,Male Top22
女性裤子1,Female Pants1
女性裤子2,Female Pants2
女性裤子3,Female Pants3
女性裤子4,Female Pants4
女性裤子5,Female Pants5
女性裤子6,Female Pants6
女性裤子7,Female Pants7
女性裤子8,Female Pants8
男性裤子1,Male Pants1
男性裤子2,Male Pants2
男性裤子3,Male Pants3
男性裤子4,Male Pants4
男性裤子5,Male Pants5
男性裤子6,Male Pants6
男性裤子7,Male Pants7
男性裤子8,Male Pants8
男性裤子9,Male Pants9
男性裤子10,Male Pants10
男性裤子11,Male Pants11
男性裤子12,Male Pants12
男性裤子13,Male Pants13
男性裤子14,Male Pants14
男性裤子15,Male Pants15
男性裤子16,Male Pants16
男性裤子17,Male Pants17
